row_index,fixture_id,kind,content_sha256,duplicate_ordinal,text_empty
42,real-truncated-9ecfc35fcefae241-001,truncated,9ecfc35fcefae241d9aff4cfd6584fec5db6c121c1b59a2bfd6979a273952041,1,false
43,real-truncated-acb3a5295c56829c-001,truncated,acb3a5295c56829c5d2a6c8372c0d9edd0283c757b724a377d1a4cbf115ac06b,1,false
44,real-control_correct-4bc94d1cce22bd8b-001,control_correct,4bc94d1cce22bd8bcb4c933bcaf6485b88e1fe8ac98a2e264ee5741c5535677d,1,false
45,real-control_correct-02db4d1921acd1d7-001,control_correct,02db4d1921acd1d752661ca2b087a422bb9c2fd1fc93832455f74d458d645548,1,false
46,real-truncated-25007c1e26d4eeb2-001,truncated,25007c1e26d4eeb27368ff6de1fbcfcd86a809f19a3c6e46fb0e742d19b12ae6,1,false
47,real-truncated-ba728ce1826746c2-001,truncated,ba728ce1826746c238742f8b0d08ee8faacd0c5e9f272617fa9adf147333ac69,1,false
48,real-control_correct-0e0bf8d361f29f7c-001,control_correct,0e0bf8d361f29f7cf57dff4e6e2adbda70b5bd2a1c4a8422a6545e5a3984ca80,1,false
49,real-control_correct-585dbca476773d3a-001,control_correct,585dbca476773d3ade7f96c038e775a8fd6c087ad53d1d9614cb7104a555abcf,1,false
50,real-truncated-707f12f62e6d4cef-001,truncated,707f12f62e6d4cef817a9ce9987248d10152f65e21f9b66979ea21a1e75aaf48,1,false
51,real-control_correct-066f81dce4312897-001,control_correct,066f81dce43128972aa7077c7ecff4546b7d300f8ff7a61fb80c7dcd7c62a425,1,false
52,real-control_correct-7c345a24b0485152-001,control_correct,7c345a24b0485152684dc31273d469f0912511dc6fd553942846ee1bb4b0be58,1,false
53,real-truncated-d2e93ae35a6c6929-001,truncated,d2e93ae35a6c69294eb1458121de363b2f574e386dbce85a18effa60afa862cf,1,false
54,real-truncated-062cf1ffe5b924fa-001,truncated,062cf1ffe5b924faa1cdc6f75e386d97edab4026c5dc29922c6e2dbdd00c5477,1,false
55,real-truncated-805630023b55e371-001,truncated,805630023b55e371b00257867b7b8ceb97979fde5b64f0a8f75d39ed3b971b2f,1,false
56,real-truncated-3eacef22437fd915-001,truncated,3eacef22437fd915862725d297133b35d7548a058b183d325ca43133f802a6fd,1,false
57,real-truncated-5da13db78fc0a540-001,truncated,5da13db78fc0a5402777645dc95778ae75405fd07f4e0085ababeb40efea6650,1,false
58,real-truncated-4480e573ba66416f-001,truncated,4480e573ba66416f6e9246d28e7a2aae57a668aea59bc8cea511ff9ecb3414a4,1,false
59,real-truncated-5f4343c0d4868050-001,truncated,5f4343c0d4868050d93fe0d70eed2edfe24a874619ad801ae85a5a4eef8f0d69,1,false
60,real-truncated-4749817223a7201d-001,truncated,4749817223a7201d0e2fa4ca25cf45572c498f44932c3eed57300380b6b0cc47,1,false
61,real-control_correct-14b3558563a36d01-001,control_correct,14b3558563a36d01a26009f602236baa907c5e2386da848d4aa5b3f0ecd13564,1,false
62,real-control_correct-52cde770e82e4c2e-001,control_correct,52cde770e82e4c2eedc38e46459f6715742913fcac6682f3946848fca6b5058d,1,false
63,real-truncated-bba38d303fcf87eb-001,truncated,bba38d303fcf87ebdc34ff80803dea08e5bf48532d550674aafaa4f6034a1b6e,1,false
64,real-truncated-d85d90aaf4cc1ca6-001,truncated,d85d90aaf4cc1ca6895320a3a98569e2778c63e61b8d28c5678994235b3de27c,1,false
65,real-truncated-525ccd1eb6fbf139-001,truncated,525ccd1eb6fbf139325152800d77c68140b4210fb5f2c04432b1dc01c369f9f5,1,false
66,real-truncated-e1572c89e32df953-001,truncated,e1572c89e32df9534e7fa35f755e6004cb917783b0c18c8e87079d516a86e9ce,1,false
67,real-truncated-247556f85b1c55a4-001,truncated,247556f85b1c55a49db028fbe7226d35c13ff1ec26d6d3c97bb352c48c69af82,1,false
68,real-truncated-75443d7e611f2187-001,truncated,75443d7e611f218741851489d70f13a97644108ee20ae5a3cb7876077a46349e,1,false
69,real-truncated-35be201956f48fd0-001,truncated,35be201956f48fd07a2e7136d5bece0a11ffd464f88eaf278bfd436862976ed5,1,false
70,real-truncated-9bb1434201a768b2-001,truncated,9bb1434201a768b2d53929b99ee019fa042dcebee3a0b04c66612449cd783672,1,false
71,real-control_correct-a3713e645b1649de-001,control_correct,a3713e645b1649def264ec15be689b43e3561f484c19d5cf125e28f2e863b816,1,false
72,real-control_correct-2154392bb16da70b-001,control_correct,2154392bb16da70bce8a4f5f534384daa46944e5e74ff8c3bb4da8d749462f7b,1,false
73,real-truncated-95b8c4379b5dc2e4-001,truncated,95b8c4379b5dc2e4e4a2ee7bc3155f454ee884f4bb1f89d8d47e4cbd89da9cba,1,false
74,real-truncated-770210b9f8b54309-001,truncated,770210b9f8b54309674d834f48dbe0fabe76c3cd27e646953e8fc0029927b118,1,false
75,real-truncated-89322f67b05ffd2c-001,truncated,89322f67b05ffd2c7d416fcab0768b1d9465096c3b608f83ee9307ae165857e8,1,false
76,real-truncated-1f7af8c0564d30c0-001,truncated,1f7af8c0564d30c0d9a1b7f2a504f2a8a601182019fae963bea782b9a5d7d152,1,false
77,real-truncated-0f4e8f3e7a20e1ab-001,truncated,0f4e8f3e7a20e1ab6474f77fedad276dcac66d250a4a2cc415d31bdfecebf559,1,false
78,real-truncated-88da8be5be46715d-001,truncated,88da8be5be46715d16beae09d459f744a49cf0a13dcaf8b3bfa39f09b8ed5a0b,1,false
79,real-truncated-6082a79b2216cc1e-001,truncated,6082a79b2216cc1e7dc1f94cee0102ee805355edccd7aef073e431ab83125a26,1,false
80,real-truncated-798d25ae0b5abad7-001,truncated,798d25ae0b5abad738adc42591422dcc03713afa94f19e979de1fd56dd22c749,1,false
81,real-control_correct-58e45e3809bf2724-001,control_correct,58e45e3809bf2724615b43ed90af0e4f16b6998bea359b34f76d226333262cb4,1,false
82,real-control_correct-ef625c1ebfd1e6d8-001,control_correct,ef625c1ebfd1e6d8916a4310e425a6149bd2c5b609e91f2715e374723dbde206,1,false
83,real-truncated-b92076fc9cd5e016-001,truncated,b92076fc9cd5e0167d37a57e2ede97070b8982497a70cc7c821951f425de96bc,1,false
84,real-truncated-aaa0d7f68b704bec-001,truncated,aaa0d7f68b704becc94ba1cf38449e97f787a9fc09938bb089f3afd972f6974f,1,false
85,real-control_correct-fc4941cec6e2d7b3-001,control_correct,fc4941cec6e2d7b3035989e726760b24c491e4c6cce8435341ab93e0ed472817,1,false
86,real-control_correct-14a0b724276c5caa-001,control_correct,14a0b724276c5caaaeb068a46a4192494d618d214d36a1f9447a513fb82c5615,1,false
87,real-truncated-55417c12215c3d52-001,truncated,55417c12215c3d52e4832370b3353c3865fddab852d1381400b20d3bd750ec3d,1,false
88,real-control_correct-5aba32f1a8311a80-001,control_correct,5aba32f1a8311a807d73610838dff9d806b274a33774adc6c9a924b54a4a10b1,1,false
89,real-control_correct-2efd83efcd01279f-001,control_correct,2efd83efcd01279fb8a9d25ad7731dd03f6c559a9e5e8e0a48f168a131fb0ee4,1,false
90,real-truncated-7119848ec423bf7a-001,truncated,7119848ec423bf7ac161e956a941193d172c37b37a2d89f88131d8caa14630f2,1,false
91,real-truncated-99187b20ecf0bdb9-001,truncated,99187b20ecf0bdb93f696259970a30f40ef048e722ae78a5388ccc76485346a5,1,false
92,real-truncated-7734823d0e946fc4-001,truncated,7734823d0e946fc4fae56b50a0f33a66757cecdf101fd97fa8c3cedd8ce5034b,1,false
93,real-control_correct-c4ae4e148917ebf3-001,control_correct,c4ae4e148917ebf3cc8a6067339741072aaa943c53ff8b554ecb855ecbc7276f,1,false
