target,pipeline_id,pipeline_status,metric,stratum,numerator,denominator,percent,metric_status
opencompass,gsm8k_last_number,ok,crash_pct,real_no_pre_answer,0,42,0.000000,ok
opencompass,gsm8k_last_number,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
opencompass,gsm8k_last_number,ok,accidental_correct_pct,real_no_pre_answer,0,42,0.000000,ok
opencompass,gsm8k_last_number,ok,answer_is_numeric_pct,real_no_pre_answer,31,31,100.000000,ok
opencompass,gsm8k_last_number,ok,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
opencompass,gsm8k_last_number,ok,crash_pct,synthetic,0,100,0.000000,ok
opencompass,gsm8k_last_number,ok,swallowed_error_pct,synthetic,,,,not_measured
opencompass,gsm8k_last_number,ok,accidental_correct_pct,synthetic,40,100,40.000000,ok
opencompass,gsm8k_last_number,ok,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
opencompass,gsm8k_last_number,ok,control_pass_pct,control,28,28,100.000000,ok
helm,math_chain_of_thought,ok,answer_returned_after_truncation_pct,real,23,131,17.557252,ok
helm,math_chain_of_thought,ok,crash_pct,real,0,131,0.000000,ok
helm,math_chain_of_thought,ok,swallowed_error_pct,real,,,,not_measured
helm,math_chain_of_thought,ok,accidental_correct_pct,real,1,131,0.763359,ok
helm,math_chain_of_thought,ok,answer_is_numeric_pct,real,20,23,86.956522,ok
helm,math_chain_of_thought,ok,answer_returned_after_truncation_pct,real_pre_answer,23,26,88.461538,ok
helm,math_chain_of_thought,ok,crash_pct,real_pre_answer,0,26,0.000000,ok
helm,math_chain_of_thought,ok,swallowed_error_pct,real_pre_answer,,,,not_measured
helm,math_chain_of_thought,ok,accidental_correct_pct,real_pre_answer,1,26,3.846154,ok
helm,math_chain_of_thought,ok,answer_is_numeric_pct,real_pre_answer,20,23,86.956522,ok
helm,math_chain_of_thought,ok,answer_returned_after_truncation_pct,real_no_pre_answer,0,105,0.000000,ok
helm,math_chain_of_thought,ok,crash_pct,real_no_pre_answer,0,105,0.000000,ok
helm,math_chain_of_thought,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
helm,math_chain_of_thought,ok,accidental_correct_pct,real_no_pre_answer,0,105,0.000000,ok
helm,math_chain_of_thought,ok,answer_is_numeric_pct,real_no_pre_answer,0,0,,not_applicable
helm,math_chain_of_thought,ok,answer_returned_after_truncation_pct,synthetic,0,100,0.000000,ok
helm,math_chain_of_thought,ok,crash_pct,synthetic,0,100,0.000000,ok
helm,math_chain_of_thought,ok,swallowed_error_pct,synthetic,,,,not_measured
helm,math_chain_of_thought,ok,accidental_correct_pct,synthetic,0,100,0.000000,ok
